FEATTYPE,SCALE,FACAFF,elevation,aspect,slope,landuse,Period,Years_befo,Main_Rock_,NDVI,distance,total_curv,plan_curv,prof_curv,Label
,,,2,145.491,11.8547,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.130386,17320.02153,-0.294865,-0.0251864,0.269679,0
,,,153,51.0885,16.0818,72,Jurassic,145-199,Tuff and Lava,0.335145,17320.90074,-0.184291,-0.00355628,0.180735,0
,,,19,160.346,2.30082,61,Jurassic,145-199,Granitic Rocks,0.249702,17322.44237,-0.0491442,0.0381864,0.0873306,0
,,,88,173.524,14.1228,72,Jurassic,145-199,Granitic Rocks,0.333072,17334.08861,-0.331724,-0.154079,0.177645,0
,,,38,91.1382,11.5353,53,Jurassic,145-199,Granitic Rocks,0.225374,17348.91672,-0.319438,-0.110851,0.208587,0
,,,-1,240.945,3.18534,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0128535,17349.24172,0.0245721,-0.00921454,-0.0337867,0
,,,296,119.822,20.4189,73,Jurassic,145-199,Granitic Rocks,0.315342,17386.36534,0.135147,-0.0776074,-0.212754,0
,,,167,346.31,12.242,73,Jurassic,145-199,Granitic Rocks,0.244731,17386.89827,-0.589731,-0.195636,0.394095,0
,,,2,32.4712,0.672983,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.00890446,17390.46496,0.0245721,0,-0.0245721,0
,,,54,242.526,22.727,71,Jurassic,145-199,Granitic Rocks,0.145423,17393.69405,0.0982885,0.121673,0.0233845,0
,,,15,131.424,1.75484,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.273693,17396.14327,0.159719,0.0427894,-0.116929,0
,,,90,135.623,9.97247,73,Jurassic,145-199,Tuff and Lava,0.368889,17405.64798,-0.626589,-0.66573,-0.0391407,0
,,,5,327.529,1.00942,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.335625,17406.96495,0.0245721,0.0215006,-0.00307151,0
,,,18,231.981,5.38952,3,Jurassic,145-199,Tuff and Lava,0.250227,17413.46417,-0.196577,0.0128877,0.209465,0
,,,104,119.055,7.92072,71,Jurassic,145-199,Granitic Rocks,0.308376,17431.22337,-0.34401,-0.16261,0.1814,0
,,,50,322.853,3.20217,71,Jurassic,145-199,Granitic Rocks,0.324303,17438.17539,-0.602017,-0.50466,0.0973564,0
,,,14,131.009,4.70922,71,Jurassic,145-199,Tuff and Lava,0.177372,17455.54171,-0.208863,-0.0761625,0.132701,0
,,,175,84.6107,12.1787,72,Jurassic,145-199,Granitic Rocks,0.314239,17459.46121,-0.454584,-0.346673,0.107911,0
,,,390,286.891,19.2304,72,Jurassic,145-199,Granitic Rocks,0.26337,17464.34948,0.40544,0.359662,-0.0457776,0
,,,185,160.907,4.25275,73,Jurassic,145-199,Granitic Rocks,0.248779,17465.9254,-0.454584,-0.291178,0.163406,0
,,,13,358.781,3.635,1,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.118719,17472.66601,0.184291,0.105067,-0.0792239,0
,,,17,211.504,5.61235,73,Jurassic,145-199,Granitic Rocks,0.280051,17486.41206,-0.0860024,-0.0452127,0.0407897,0
,,,15,123.69,0.558314,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.133986,17490.8667,0,0.0101596,0.0101596,0
,,,149,279.416,15.2479,73,Jurassic,145-199,Granitic Rocks,0.216495,17495.34097,-0.651161,-0.177328,0.473833,0
,,,236,98.3581,16.0768,73,Jurassic,145-199,Granitic Rocks,0.254491,17500.27523,0.319438,-0.023741,-0.343179,0
,,,11,303.887,6.22446,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.266069,17504.26508,-0.159719,-0.0228129,0.136906,0
,,,98,251.831,20.2221,72,Jurassic,145-199,Granitic Rocks,0.264945,17515.45123,-0.208863,-0.204925,0.00393796,0
,,,6,-1,0,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0696995,17519.60807,0.0245721,-0.0245721,-0.0491442,0
,,,34,127.304,4.08133,72,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.338814,17533.25243,-0.0491442,-0.0184291,0.0307151,0
,,,26,19.8852,3.86392,61,Jurassic,145-199,Granitic Rocks,0.325911,17534.62713,0.0737164,0.0122861,-0.0614303,0
,,,3,282.995,1.03289,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0399915,17544.18441,0.110575,0.0565159,-0.0540587,0
,,,30,119.358,2.8404,2,Jurassic,145-199,Tuff and Lava,0.10629,17549.00444,-0.958313,-0.645433,0.312879,0
,,,-6,174.094,2.25619,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.151098,17550.6903,-0.245721,-0.095217,0.150504,0
,,,282,265.653,13.0478,73,Jurassic,145-199,Granitic Rocks,0.220549,17554.70779,0.565159,0.161462,-0.403696,0
,,,2,236.31,0.558314,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.236467,17574.04958,0.0860024,0.0537696,-0.0322328,0
,,,18,270,0.309704,23,Jurassic,145-199,Granitic Rocks,0.0713114,17584.45106,-0.0122861,0.0440444,0.0563304,0
,,,155,9.81126,20.0417,72,Jurassic,145-199,Granitic Rocks,0.192613,17590.6849,-0.87231,-0.401294,0.471016,0
,,,91,160.534,18.393,73,Jurassic,145-199,Granitic Rocks,0.214885,17604.952,-0.0614303,0.0624561,0.123886,0
,,,32,262.875,6.21782,73,Jurassic,145-199,Granitic Rocks,0.195265,17607.59811,-0.34401,0.0159719,0.359982,0
,,,121,174.094,6.7408,72,Jurassic,145-199,Granitic Rocks,0.31177,17607.8178,0.368582,0.242697,-0.125885,0
,,,5,288.435,0.244843,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.229461,17613.46142,-0.122861,-0.0829309,0.0399297,0
,,,147,240.945,2.39008,72,Jurassic,145-199,Granitic Rocks,0.269209,17623.17225,-0.0737164,-0.0968772,-0.0231609,0
,,,6,78.6901,1.97322,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.142119,17627.88831,-0.208863,-0.14989,0.0589731,0
,,,18,189.834,5.87294,31,Jurassic,145-199,Granitic Rocks,0.127407,17630.3278,-0.110575,0.0218903,0.132465,0
,,,8,321.34,0.991447,53,Jurassic,145-199,Granitic Rocks,0.349386,17637.03454,-0.0122861,0.059956,0.072242,0
,,,137,3.17983,13.6916,72,Jurassic,145-199,Granitic Rocks,0.225806,17641.98906,0.663447,0.50259,-0.160857,0
,,,5,204.444,2.80441,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.169198,17642.97477,-0.0860024,-0.046687,0.0393154,0
,,,295,75.879,23.8991,71,Jurassic,145-199,Tuff and Lava,0.353898,17643.46034,-0.454584,-0.321231,0.133354,0
,,,1,142.125,0.882731,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0432511,17644.69225,0.0122861,0,-0.0122861,0
,,,135,275.56,8.72256,73,Jurassic,145-199,Granitic Rocks,0.174334,17647.02462,-0.356296,-0.114121,0.242174,0
,,,36,310.352,13.2702,72,Jurassic,145-199,Granitic Rocks,0.23888,17661.83749,-0.294865,-0.10715,0.187715,0
,,,20,198.435,0.979284,23,Jurassic,145-199,Granitic Rocks,0.146391,17666.53036,0.0614303,0.0642655,0.00283524,0
,,,8,349.695,1.73079,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.217904,17680.12779,0.122861,0.0565159,-0.0663447,0
,,,186,284.886,18.3348,73,Jurassic,145-199,Granitic Rocks,0.271143,17681.04158,0.282579,0.0517427,-0.230837,0
,,,0,0,0,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.109719,17685.27434,0,0,0,0
,,,38,137.291,18.5059,71,Jurassic,145-199,Granitic Rocks,0.313472,17690.31312,-0.0982885,0.0132592,0.111548,0
,,,126,357.825,12.0609,71,Jurassic,145-199,Granitic Rocks,0.214914,17697.74643,0.147433,0.171962,0.0245289,0
,,,108,80.7322,18.1204,72,Jurassic,145-199,Granitic Rocks,0.322678,17699.97351,1.06889,0.391082,-0.677805,0
,,,54,22.7241,9.72677,72,Jurassic,145-199,Tuff and Lava,0.307347,17702.4411,0.46687,0.351334,-0.115536,0
,,,197,34.4184,10.0329,72,Jurassic,145-199,Granitic Rocks,0.304485,17706.06875,-0.454584,-0.214508,0.240076,0
,,,14,318.18,3.94177,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0932379,17716.47252,0.0614303,0.0885795,0.0271492,0
,,,17,129.958,3.73211,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0563113,17727.00361,0.0737164,0.0388809,-0.0348355,0
,,,106,357.647,21.5504,71,Jurassic,145-199,Granitic Rocks,0.253327,17737.59567,-0.184291,-0.0617806,0.12251,0
,,,137,33.3407,7.00854,72,Jurassic,145-199,Granitic Rocks,0.260967,17743.04491,-0.663447,-0.384743,0.278704,0
,,,129,1.89652,11.5393,73,Jurassic,145-199,Granitic Rocks,0.145807,17751.02164,-0.0491442,-0.00971263,0.0394316,0
,,,5,270,0.929039,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0712132,17762.05508,-0.135147,-0.1153,0.0198467,0
,,,28,223.493,4.15506,2,Jurassic,145-199,Granitic Rocks,0.0464362,17763.32828,-0.540587,-0.152093,0.388494,0
,,,7,67.6199,1.42318,22,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0802749,17767.92907,0,-0.0368582,-0.0368582,0
,,,52,356.517,8.84951,72,Jurassic,145-199,Granitic Rocks,0.30261,17772.57403,0.516015,0.321403,-0.194611,0
,,,18,45,0.985384,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.105736,17780.45111,0,0.0151213,0.0151213,0
,,,-10,6.70984,2.64878,32,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.18844,17782.10042,-0.221149,-0.122483,0.0986665,0
,,,69,286.699,4.83862,72,Jurassic,145-199,Granitic Rocks,0.255163,17789.24572,-0.172005,-0.0593623,0.112642,0
,,,111,14.2811,17.0548,71,Jurassic,145-199,Granitic Rocks,0.16838,17792.83918,0.528301,0.317482,-0.210819,0
,,,20,339.567,4.20632,32,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.190493,17803.34061,0.135147,0.0688019,-0.0663447,0
,,,27,84.8056,5.9648,23,Jurassic,145-199,Granitic Rocks,0.137569,17813.70497,-0.159719,-0.0491442,0.110575,0
,,,65,9.94057,7.58032,54,Jurassic,145-199,Granitic Rocks,0.0846504,17821.28254,-0.0614303,-0.0135425,0.0478878,0
,,,37,119.745,1.24827,2,Jurassic,145-199,Tuff and Lava,0.140341,17828.1369,0.0368582,-0.0513571,-0.0882153,0
,,,1,26.5651,1.38478,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",-0.0695761,17828.49789,0.0122861,0.00737164,-0.00491442,0
,,,4,59.0362,4.05645,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.107032,17830.89653,-0.430012,-0.107389,0.322623,0
,,,13,8.97263,1.489,23,Jurassic,145-199,"Sandstone, siltstone and mudstone",0.117525,17840.93107,0.0245721,0.00860024,-0.0159719,0
,,,106,341.196,21.7166,72,Jurassic,145-199,Granitic Rocks,0.195129,17841.45722,0.319438,0.265316,-0.0541221,0
,,,3,176.634,2.6352,72,Jurassic,145-199,Granitic Rocks,0.331242,17841.87064,-0.638875,-0.229378,0.409497,0
,,,12,307.875,3.52674,73,Jurassic,145-199,Tuff and Lava,0.163515,17846.81573,0.159719,0.039167,-0.120552,0
,,,7,165.964,0.638451,61,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.317729,17849.40026,-0.0122861,-0.0171541,-0.00486806,0
,,,2,52.5946,1.65654,74,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.331869,17856.29391,-0.0860024,-0.0709554,0.015047,0
,,,7,12.8043,3.48933,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.204804,17858.96446,0.0368582,0.0319438,-0.00491442,0
,,,25,308.991,2.09103,51,Jurassic,145-199,Granitic Rocks,0.265117,17868.30168,0.0982885,0.0215006,-0.0767879,0
,,,1,71.565,1.22404,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.127929,17873.99293,0.0614303,0.0198467,-0.0415836,0
,,,159,204.928,6.0396,72,Jurassic,145-199,Granitic Rocks,0.221643,17874.21323,-0.282579,-0.254318,0.0282612,0
,,,183,326.104,11.7713,72,Jurassic,145-199,Granitic Rocks,0.272549,17875.81363,0.0245721,0.0737164,0.0491442,0
,,,5,85.6013,1.00942,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0810145,17883.90058,-0.0122861,-0.0101884,0.00209762,0
,,,7,280.008,1.33635,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0896635,17893.31856,0.0614303,0.0491442,-0.0122861,0
,,,9,315,3.28135,72,Jurassic,145-199,Granitic Rocks,0.294102,17895.22693,0.0122861,0.0829591,0.070673,0
,,,17,66.3706,2.70239,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.11358,17895.90552,0.0737164,0.0245721,-0.0491442,0
,,,3,156.801,0.589644,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.167665,17895.91952,0.0737164,0.0491442,-0.0245721,0
,,,90,280.886,12.116,73,Jurassic,145-199,Granitic Rocks,0.283999,17898.84751,0.552873,0.335,-0.217873,0
,,,41,239.744,26.0176,81,Jurassic,145-199,Granitic Rocks,0.240937,17904.49725,-0.380868,-0.0357685,0.345099,0
,,,150,335.93,27.1839,72,Jurassic,145-199,Granitic Rocks,0.186742,17906.75179,0.196577,0.161558,-0.0350185,0
,,,24,58.3925,2.3624,32,Jurassic,145-199,Tuff and Lava,0.190843,17937.52012,-0.0737164,0.102433,0.17615,0
,,,72,326.547,10.2818,72,Jurassic,145-199,Granitic Rocks,0.264176,17937.83636,0.516015,0.403745,-0.112269,0
,,,97,0,7.54392,71,Jurassic,145-199,Granitic Rocks,0.214022,17939.02739,0.454584,0.242974,-0.21161,0
,,,166,299.11,15.2282,73,Jurassic,145-199,Granitic Rocks,0.195954,17947.26615,0.0737164,-0.00988158,-0.0835979,0
,,,5,127.875,1.76504,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.152836,17955.93756,0.0491442,0.0744391,0.0252948,0
,,,12,31.7595,1.91159,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.137119,17958.45528,0.0614303,0.0696771,0.00824681,0
,,,342,172.03,22.2622,73,Jurassic,145-199,Granitic Rocks,0.231462,17963.1063,-0.552873,-0.574143,-0.0212707,0
,,,0,0,0,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.095785,17973.82919,0,0,0,0
,,,125,58.2105,22.6912,73,Jurassic,145-199,Granitic Rocks,0.270273,17974.17891,0.208863,0.161603,-0.0472602,0
,,,8,21.1135,8.32379,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0400558,17994.47981,-0.319438,-0.188591,0.130847,0
,,,17,237.995,1.46057,22,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0650487,17999.07217,0.356296,0.166334,-0.189961,0
,,,19,62.5256,4.35505,72,Jurassic,145-199,Granitic Rocks,0.326286,18010.15265,0,0.121887,0.121887,0
,,,28,150.709,3.635,32,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0862059,18013.41927,0.307151,0.18163,-0.125521,0
,,,13,149.036,0.451462,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.19114,18015.6501,0.184291,0.0786308,-0.10566,0
,,,148,9.46232,17.3466,73,Jurassic,145-199,Granitic Rocks,0.151026,18017.93975,-1.10575,-0.610129,0.495616,0
,,,316,329.036,9.39576,73,Jurassic,145-199,Granitic Rocks,0.235179,18022.59551,0.356296,0.304684,-0.051612,0
,,,132,85.7321,5.18779,72,Jurassic,145-199,Granitic Rocks,0.30702,18022.69986,-0.0245721,-0.145663,-0.121091,0
,,,0,0,0,53,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.2733,18026.11603,-0.0982885,-0.0552873,0.0430012,0
,,,316,28.54,5.01098,72,Jurassic,145-199,Granitic Rocks,0.292004,18027.06982,-0.737164,-0.476808,0.260356,0
,,,178,243.435,9.94067,81,Jurassic,145-199,Granitic Rocks,0.138184,18035.11245,0.982885,0.555739,-0.427146,0
,,,209,295.096,6.72332,73,Jurassic,145-199,Granitic Rocks,0.230088,18048.88283,0,0.0820217,0.0820217,0
,,,109,70.7693,3.52166,72,Jurassic,145-199,Granitic Rocks,0.333785,18048.99904,-0.417726,-0.172532,0.245194,0
,,,193,319.131,19.029,73,Jurassic,145-199,Granitic Rocks,0.191719,18053.26397,0.602017,0.30104,-0.300977,0
,,,253,144.737,18.1438,73,Jurassic,145-199,Granitic Rocks,0.332475,18058.35837,-0.380868,-0.30867,0.0721979,0
,,,336,35.8698,6.18642,72,Jurassic,145-199,Granitic Rocks,0.246548,18058.98737,-0.0122861,-0.0381963,-0.0259103,0
,,,68,294.74,16.8848,72,Jurassic,145-199,Granitic Rocks,0.257758,18062.47003,-0.479156,-0.142831,0.336325,0
,,,142,275.43,19.6469,72,Jurassic,145-199,Granitic Rocks,0.265996,18066.96922,0.0737164,0.00533026,-0.0683861,0
,,,9,147.529,1.00942,61,Jurassic,145-199,Tuff and Lava,0.331716,18069.97804,0.0122861,-0.00472541,-0.0170115,0
,,,10,283.392,1.67094,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.205645,18074.81926,0.0614303,0.0414944,-0.0199359,0
,,,1,168.69,3.94177,41,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.10432,18075.59188,-0.184291,-0.0954532,0.0888377,0
,,,3,48.0128,2.08242,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.387241,18077.43016,0,0.046687,0.046687,0
,,,101,3.14496,7.0211,73,Jurassic,145-199,Granitic Rocks,0.264058,18080.38291,0.614303,0.462712,-0.151591,0
,,,215,331.213,15.6755,72,Jurassic,145-199,Granitic Rocks,0.302239,18080.49979,-0.552873,-0.24055,0.312323,0
,,,158,253.369,6.19785,73,Jurassic,145-199,Granitic Rocks,0.239362,18081.94887,0.122861,0.063423,-0.0594376,0
,,,36,162.801,6.7765,21,Jurassic,145-199,Tuff and Lava,0.0415748,18082.48593,0.0245721,0.0123702,-0.0122019,0
,,,-3,279.462,3.76233,62,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.149723,18084.8283,-0.233435,-0.0579846,0.175451,0
,,,296,242.499,22.1354,73,Jurassic,145-199,Granitic Rocks,0.261836,18086.44084,0.294865,-0.203262,-0.498128,0
,,,20,0,0,1,Jurassic,145-199,Granitic Rocks,0.227239,18098.47278,0.0491442,0,-0.0491442,0
,,,11,243.435,3.1133,1,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0880186,18110.587,0.0860024,0.0796137,-0.00638875,0
,,,426,31.7294,22.6004,73,Jurassic,145-199,Tuff and Lava,0.349741,18111.14941,1.99034,1.11037,-0.879971,0
,,,150,304.796,21.2243,73,Jurassic,145-199,Granitic Rocks,0.188476,18118.61889,-0.0982885,-0.040233,0.0580554,0
,,,29,132.732,10.9333,73,Jurassic,145-199,Tuff and Lava,0.325546,18123.90584,-0.233435,-0.114647,0.118788,0
,,,55,120.809,9.73151,71,Jurassic,145-199,Tuff and Lava,0.371597,18134.38726,-0.0860024,0.00246648,0.0884689,0
,,,61,280.275,13.2163,71,Jurassic,145-199,Granitic Rocks,0.241566,18134.43108,0.675733,0.417726,-0.258007,0
,,,9,258.69,0.789551,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.106449,18138.34512,0.0614303,0.0491442,-0.0122861,0
,,,-3,191.47,10.7738,31,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.131669,18149.76368,-0.0860024,0.0111913,0.0971937,0
,,,12,281.31,6.68116,1,Jurassic,145-199,Tuff and Lava,0.11649,18188.43708,-0.147433,-0.0484393,0.0989934,0
,,,44,120.801,9.29237,51,Jurassic,145-199,Granitic Rocks,0.198828,18192.76982,0.565159,0.259328,-0.305831,0
,,,234,252.316,11.0748,73,Jurassic,145-199,Granitic Rocks,0.231976,18205.22699,-0.159719,-0.017931,0.141788,0
,,,2,41.8202,1.97322,92,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.237041,18222.88594,0,-0.0184291,-0.0184291,0
,,,9,315,0.547473,3,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0787144,18228.16847,0.0614303,0.0491442,-0.0122861,0
,,,43,181.081,4.09735,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.247116,18229.17125,-0.0737164,0.0795117,0.153228,0
,,,13,315.403,7.74527,41,Jurassic,145-199,Granitic Rocks,0.272572,18229.99213,-0.172005,-0.110575,0.0614303,0
,,,32,29.859,9.55253,73,Jurassic,145-199,Granitic Rocks,0.172653,18232.71236,0.0491442,0.0979687,0.0488244,0
,,,19,298.496,6.14333,71,Jurassic,145-199,Granitic Rocks,0.208606,18240.01779,-0.122861,0.0281732,0.151034,0
,,,13,246.801,1.17916,31,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0770041,18247.0851,0.159719,0.0865695,-0.0731493,0
,,,-9,81.0274,4.45897,71,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.213843,18249.47328,-0.540587,-0.181219,0.359367,0
,,,12,29.0546,3.18534,23,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.17309,18252.43587,0.0860024,0.103131,0.0171287,0
,,,12,315,0.109498,71,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.301898,18254.13235,0.0368582,0.0221149,-0.0147433,0
,,,123,327.953,21.4151,72,Jurassic,145-199,Granitic Rocks,0.238402,18257.74696,-0.724878,-0.489195,0.235683,0
,,,28,210.34,16.2099,72,Jurassic,145-199,Granitic Rocks,0.340669,18267.94991,-0.479156,-0.123439,0.355718,0
,,,283,170.287,8.65297,73,Jurassic,145-199,Granitic Rocks,0.295472,18286.60072,-0.0245721,0.0233908,0.0479629,0
,,,7,155.323,3.14953,1,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.106466,18294.72599,-0.0245721,-0.0497585,-0.0251864,0
,,,176,332.044,15.3149,73,Jurassic,145-199,Granitic Rocks,0.309804,18302.69844,-0.208863,-0.131366,0.0774967,0
,,,11,29.7449,1.24827,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.152786,18312.65822,0.294865,0.13081,-0.164055,0
,,,3,326.31,1.11652,23,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.195202,18312.99718,-0.0245721,-0.0491442,-0.0245721,0
,,,9,156.801,2.35733,41,Jurassic,145-199,Granitic Rocks,0.108925,18316.26627,0.0737164,0.122861,0.0491442,0
,,,13,0,0,54,Jurassic,145-199,Granitic Rocks,0.109149,18319.02709,-0.184291,0.0412117,0.225503,0
,,,121,253.78,8.80015,73,Jurassic,145-199,Granitic Rocks,0.284948,18319.19586,-0.368582,-0.06853,0.300052,0
,,,14,118.61,1.93957,21,Jurassic,145-199,Tuff and Lava,0.123679,18319.98474,0,0.0379173,0.0379173,0
,,,30,37.614,11.7569,54,Jurassic,145-199,Granitic Rocks,0.0500843,18321.73445,-0.135147,-0.0426747,0.0924719,0
,,,109,292.958,22.9122,73,Jurassic,145-199,Granitic Rocks,0.170422,18326.98991,-0.34401,-0.184601,0.159409,0
,,,11,129.806,3.62349,3,Jurassic,145-199,Tuff and Lava,0.151679,18329.64429,-0.380868,-0.234754,0.146113,0
,,,209,212.042,12.4947,73,Jurassic,145-199,Granitic Rocks,0.173769,18337.753,0.0245721,-0.143232,-0.167804,0
,,,11,340.688,9.51072,52,Jurassic,145-199,Granitic Rocks,-0.0300393,18338.23275,-0.368582,-0.0175471,0.351035,0
,,,29,189.462,0.941852,1,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.0227679,18361.63178,0.491442,0.34401,-0.147433,0
,,,9,316.364,4.59037,61,Jurassic,145-199,Granitic Rocks,0.312345,18362.4472,-0.258007,-0.0892309,0.168776,0
,,,325,212.164,8.80213,71,Jurassic,145-199,Tuff and Lava,0.318861,18380.95334,-0.307151,-0.160531,0.146621,0
,,,659,272.003,21.1426,71,Jurassic,145-199,Tuff and Lava,0.290666,18387.75648,-0.430012,-0.232404,0.197608,0
,,,4,168.69,0.394794,73,Quaternary,0-1.8,"Superficial Deposits (Silt, sand and gravel)",0.191026,18388.0962,0,0,0,0
,,,169,22.0679,6.15868,61,Jurassic,145-199,Tuff and Lava,0.343864,18389.32207,-0.294865,-0.178978,0.115887,0
,,,3,0,0,3,Jurassic,145-199,Granitic Rocks,0.245787,18394.8106,-0.0614303,-0.0255172,0.0359131,0
,,,776,187.496,11.7047,73,Jurassic,145-199,Tuff and Lava,0.286208,18402.50649,0.0614303,0.132689,0.0712591,0
,,,129,139.745,25.8813,71,Jurassic,145-199,Tuff and Lava,0.407226,18411.80333,0.0860024,0.154132,0.0681291,0
,,,469,337.08,23.6159,71,Jurassic,145-199,Tuff and Lava,0.215371,18418.23282,0.454584,0.254534,-0.20005,0
,,,504,75.1137,18.3348,71,Jurassic,145-199,Tuff and Lava,0.387197,18426.67996,-0.196577,-0.130938,0.0656385,0
,,,153,65.0452,16.7561,71,Jurassic,145-199,Granitic Rocks,0.258329,18430.02063,0.331724,0.236431,-0.0952922,0
,,,358,343.54,7.06864,73,Cretaceous,65-145,Tuff and Lava,0.341589,18430.03532,0.417726,0.347128,-0.0705976,0
,,,122,312.079,10.6214,73,Jurassic,145-199,Tuff and Lava,0.344403,18433.16911,0.233435,0.113451,-0.119984,0
,,,309,72.7185,14.2917,73,Jurassic,145-199,Tuff and Lava,0.372984,18433.63452,-0.577445,-0.257328,0.320117,0
,,,210,341.208,22.3478,71,Jurassic,145-199,Tuff and Lava,0.263921,18448.98137,0.208863,0.147671,-0.0611923,0
,,,18,202.932,4.36324,73,Carboniferous,299-359,"Graphitic siltstone, sandstone and marble",0.36176,18455.05664,-0.233435,-0.0356261,0.197809,0
,,,97,332.241,9.87556,52,Jurassic,145-199,Granitic Rocks,0.1698,18455.92242,0.516015,0.14989,-0.366125,0
,,,149,357.071,16.2208,72,Jurassic,145-199,Tuff and Lava,0.270346,18478.93117,0.688019,0.631187,-0.0568326,0
,,,292,105.117,16.4548,71,Jurassic,145-199,Tuff and Lava,0.403638,18485.8782,-0.34401,-0.281743,0.0622671,0
,,,96,291.038,10.6596,73,Jurassic,145-199,Tuff and Lava,0.314739,18487.02992,0.270293,0.00715641,-0.263137,0
,,,283,353.991,5.89604,71,Cretaceous,65-145,Tuff and Lava,0.380353,18494.50628,0.147433,0.00246504,-0.144968,0
,,,162,200.581,20.0622,72,Jurassic,145-199,Granitic Rocks,0.316925,18521.64761,-0.0614303,-0.045343,0.0160873,0
,,,349,142.021,21.3497,73,Jurassic,145-199,Tuff and Lava,0.380975,18525.22179,-0.417726,-0.34227,0.075456,0
,,,197,64.4267,24.4147,71,Jurassic,145-199,"Sandstone, siltstone and mudstone",0.327236,18526.36744,-0.245721,-0.104337,0.141384,0
